"2342","1592","2333","2307","1414","1551","1414","11","0","2","0","0","0","0"
" RowID","","","Product Name","System SKU","Barcode","Product SKU","บาร์โค้ดจริง","","หน่วย","","","",""
"SKU-545-1403","545","1403","แก้มใส กระดาษทิชชู 280s/70p พรีเมียม (แก้มใส กระดาษทิชชู 280s/70p พรีเมียม 	แพค5ห่อ)","U00001001","8857127382135","U00001001","","","","","","",""
"SKU-545-1405","545","1405","แก้มใส กระดาษทิชชู 280s/70p พรีเมียม (แก้มใส กระดาษทิชชู 280s/70p พรีเมียม	ห่อ)","U00001001","8857127382050","U00001001","","","","","","",""
"SKU-545-1404","545","1404","แก้มใส กระดาษทิชชู 280s/70p พรีเมียม (แก้มใส กระดาษทิชชู 280s/70p พรีเมียม 	หีบx10 แพค5)","U00001001","8857127382784","U00001001","","","","","","",""
"SKU-546-1406","546","1406","แก้มใส กระดาษทิชชู 280s/70p ซอฟเทนเดอร์ (แก้มใส กระดาษทิชชู 280s/70p ซอฟเทนเดอร์	แพค5ห่อ)","U00001002","8857127382319","U00001002","","","","","","",""
"SKU-546-1408","546","1408","แก้มใส กระดาษทิชชู 280s/70p ซอฟเทนเดอร์ (แก้มใส กระดาษทิชชู 280s/70p ซอฟเทนเดอร์ ห่อ)","U00001002","8857127382043","U00001002","","","","","","",""
"SKU-546-1407","546","1407","แก้มใส กระดาษทิชชู 280s/70p ซอฟเทนเดอร์ (แก้มใส กระดาษทิชชู 280s/70p ซอฟเทนเดอร์	หีบx10 แพค5)","U00001002","8857127382326","U00001002","","","","","","",""
"SKU-547-1415","547","1415","แก้มใส กระดาษทิชชู 280s/70p มินิพรีเมียม (แก้มใส กระดาษทิชชู 280s/70p มินิพรีเมียม แพค12ห่อ)","U00001003","8857127382074","U00001003","","","","","","",""
"SKU-547-1409","547","1409","แก้มใส กระดาษทิชชู 280s/70p มินิพรีเมียม (แก้มใส กระดาษทิชชู 280s/70p มินิพรีเมียม ห่อ)","U00001003","8857127382036","U00001003","","","","","","",""
"SKU-547-1416","547","1416","แก้มใส กระดาษทิชชู 280s/70p มินิพรีเมียม (แก้มใส กระดาษทิชชู 280s/70p มินิพรีเมียม หีบx10 แพค12)","U00001003","8857127382418","U00001003","","","","","","",""
"SKU-548-1410","548","1410","แก้มใส กระดาษทิชชู 1300s/320p จัมโบ้ (แก้มใส กระดาษทิชชู 1300s/320p จัมโบ้ ห่อ)","U00001004","8857127382067","U00001004","","","","","","",""
"SKU-548-1413","548","1413","แก้มใส กระดาษทิชชู 1300s/320p จัมโบ้ (แก้มใส กระดาษทิชชู 1300s/320p จัมโบ้	หีบx10 ห่อ)","U00001004","857127382616","U00001004","","","","","","",""
"SKU-552-1421","552","1421","ลีลา น้ำมันปาล์ม ขวด 1ลิตร  (ลีลา น้ำมันปาล์ม ขวด 1ลิตร )","U00001005","-","U00001005","","","","","","",""
"SKU-552-1419","552","1419","ลีลา น้ำมันปาล์ม ขวด 1ลิตร  (ลีลา น้ำมันปาล์ม ขวด 1ลิตร หีบx12)","U00001005","-","U00001005","","","","","","",""
"SKU-553-1423","553","1423","ลีลา น้ำมันปาล์ม ถุง 1ลิตร  (ลีลา น้ำมันปาล์ม ถุง 1ลิตร )","U00001006","8850959002134","U00001006","","","","","","",""
"SKU-553-1422","553","1422","ลีลา น้ำมันปาล์ม ถุง 1ลิตร  (ลีลา น้ำมันปาล์ม ถุง 1ลิตร  หีบx12)","U00001006","18850959002131","U00001006","","","","","","",""
"SKU-554-1425","554","1425","ลีลา น้ำมันปาล์ม ขวด 250มล  (ลีลา น้ำมันปาล์ม ขวด 250มล แพค12)","U00001007","-","U00001007","","","","","","",""
"SKU-554-1426","554","1426","ลีลา น้ำมันปาล์ม ขวด 250มล  (ลีลา น้ำมันปาล์ม ขวด 250มล หีบX4แพค12)","U00001007","18850959001110","U00001007","","","","","","",""
"SKU-555-1428","555","1428","ลีลา น้ำมันปาล์ม ปิ๊บ18 ลิตร (ลีลา น้ำมันปาล์ม ปิ๊บ 18 ลิตร )","U00001008","8850959003315","U00001008","","","","","","",""
"SKU-556-2020","556","2020","ทับทิม น้ำมันปาล์ม ขวด 1ลิตร (ทับทิม น้ำมันปาล์ม ขวด 1ลิตร)","U00001009","-","U00001009","","","","","","",""
"SKU-556-1901","556","1901","ทับทิม น้ำมันปาล์ม ขวด 1ลิตร (ทับทิม น้ำมันปาล์ม ขวด 1ลิตร  แพค/6ขวด)","U00001009","-","U00001009","","","","","","",""
"SKU-556-1431","556","1431","ทับทิม น้ำมันปาล์ม ขวด 1ลิตร (ทับทิม น้ำมันปาล์ม ขวด 1ลิตร หีบX12)","U00001009","18858776300263","U00001009","","","","","","",""
"SKU-557-1433","557","1433","ทับทิม น้ำมันปาล์ม ขวด 250มล  (ทับทิม น้ำมันปาล์ม ขวด 250มล แพค12)","U00001010","8858776300365","U00001010","","","","","","",""
"SKU-557-1434","557","1434","ทับทิม น้ำมันปาล์ม ขวด 250มล  (ทับทิม น้ำมันปาล์ม ขวด 250มล หีบx4แพค12)","U00001010","18858776300300","U00001010","","","","","","",""
